"ID","NOTAM","nType","countryCode","qcode","aerodrome","startTime","endTime","period","verbiage","issuedBy","isCancelled"
9396,"M0264/18","N","RJJJ","QWVLW","RJTY",4/9/2018 23:00:00,4/9/2018 5:04:58,,"IMC FORMATION FLT/PARADROP IN PROGRESS: HALO LINE, 2XC-130S, SRFC-10,000/1,015 FT AGL, 9 APR/2330Z-10 APR/0330Z, EAGLE DZ, SKE RUN-IN HALO LINE, 2XC-130S, SRFC-10,000/1,015 FT AGL, 10 APRIL/07001Z-1100Z, EAGLE DZ, SKE RUN-IN","KK",1
9397,"M0265/18","N","RJJJ","QWVLW","RJTY",4/9/2018 6:01:00,4/9/2018 10:00:00,,"IMC FORMATION FLT/PARADROP IN PROGESS: HALO LINE, 4XC-130S, SRFC-13,000/1,015 FT AGL, 9 APRIL/06001Z-1000Z, EAGLE DZ, SKE RUN-IN","KK",0
9398,"M0266/18","N","RJJJ","QWVLW","RJTY",4/10/2018 7:00:00,4/10/2018 11:00:00,,"IMC FORMATION FLT/PARADROP IN PROGRESS: HALO LINE, 2XC-130S, SRFC-10,000/1,015 FT AGL, 9 APR/2330Z-10 APR/0330Z, EAGLE DZ, SKE RUN-IN HALO LINE, 2XC-130S, SRFC-13,000/1,015 FT AGL, 10 APRIL/07001Z-1100Z, EAGLE DZ, SKE RUN-IN","KK",0
9399,"M0267/18","C",,,"RJTY",4/9/2018 5:04:17,4/12/2018 5:04:17,,"Cancel M0263/18","KK",0
9400,"M0268/18","C",,,"RJTY",4/9/2018 5:04:58,4/12/2018 5:04:58,,"Cancel M0264/18","KK",0
9401,"M0271/18","N","RJJJ","QLAAS","RJTY",4/9/2018 12:42:00,4/16/2018 22:38:38,,"RWY 36 APCH LIGHTING SYSTEM UNSERVICEABLE","SD",1
9402,"M0272/18","N","RJJJ","QWVLW","RJTY",4/11/2018 23:30:00,4/12/2018 11:00:00,,"PARADROP/IMC FORMATION FLIGHT:HALO LINE, 3XC-130S, SRFC-10,000/1,015 FT AGL, 11 APR/2330Z-12 APR/0330Z, EAGLE DZ, SKE RUN-IN... HALO LINE, 3XC-130S, SRFC-10,000/1,015 FT AGL, 12 APRIL/07001Z-1100Z, EAGLE DZ, SKE RUN-IN","CB",0
9403,"M0273/18","N","RJJJ","QWVLW","RJTY",4/13/2018 0:01:00,4/13/2018 4:00:00,,"PARADROP/IMC FORMATION FLIGHT: HALO LINE, 3XC-130S, SRFC-10,000/1,015 FT AGL, 13 APR/0001Z-0400Z, EAGLE DZ, SKE RUN-IN","CB",0
9404,"M0274/18","N","RJJJ","QMXLC","RJTY",4/12/2018 11:16:00,4/14/2018 2:55:11,,"TWY K CLSD","KK",1
9405,"M0275/18","C",,,"RJTY",4/13/2018 5:28:38,4/16/2018 5:28:38,,"Cancel M0240/18","KG",0
9406,"M0276/18","N","RJJJ","QMXLC","RJTY",4/13/2018 10:04:00,4/13/2018 13:00:00,,"TWY H CLSD","KF",0
9407,"M0277/18","C",,,"RJTY",4/14/2018 2:55:11,4/17/2018 2:55:11,,"Cancel M0274/18","KK",0
9408,"M0278/18","N","RJJJ","QWVLW","RJTY",4/17/2018 7:30:00,4/17/2018 5:52:54,,"IMC NOTAM REQUESTS 3 X C-130S, SRFC TO 1,015 FT AGL, 17 APR/0730Z-1130Z, EAGLE DZ, SKE RUN-IN","KN",1
9409,"M0279/18","N","RJJJ","QMXLC","RJTY",4/15/2018 6:31:00,4/16/2018 6:20:06,,"TWY K CLSD","KG",1
9410,"M0280/18","N","RJJJ","QWVLW","RJTY",4/18/2018 0:01:00,4/17/2018 6:07:35,,"IMC FORMATION FLIGHT 2 X C-130S, SRFC TO 1,015 FT AGL, 18 APR/0001Z-0400Z, EAGLE DZ, SKE RUN-IN","KN",1
9411,"M0281/18","N","RJJJ","QWVLW","RJTY",4/18/2018 8:30:00,4/18/2018 12:30:00,,"IMC FORMATION FLIGHT 2 X C-130S, SRFC TO 1,015 FT AGL, 18 APR/0830Z-1230Z, EAGLE DZ, SKE RUN-IN","KK",0
9412,"M0283/18","C",,,"RJTY",4/16/2018 6:20:06,4/19/2018 6:20:06,,"Cancel M0279/18","KG",0
9413,"M0284/18","C",,,"RJTY",4/16/2018 22:38:38,4/19/2018 22:38:38,,"Cancel M0271/18","SD",0
9414,"M0285/18","C",,,"RJTY",4/16/2018 22:38:50,4/19/2018 22:38:50,,"Cancel M0244/18","SD",0
9415,"M0286/18","N","RJJJ","QWPLW","RJTY",4/17/2018 7:00:00,4/17/2018 11:00:00,,"IFR FORMATION FLIGHT (3 C-130) WILL TAKE PLACE AT EAGLE DROP ZONE AS FOLLOWING: 1:SKE RUN IN, SFC TO 1,015 FT AGL. 2: PERSONAL DROP, SFC TO 10,000FT. 17 APR 0700Z-1130Z","KN",0
9416,"M0287/18","C",,,"RJTY",4/17/2018 5:52:54,4/20/2018 5:52:54,,"Cancel M0278/18","KN",0
9417,"M0288/18","N","RJJJ","QWPLW","RJTY",4/18/2018 0:01:00,4/18/2018 4:00:00,,"IFR FORMATION FLIGHT (3 C-130) WILL TAKE PLACE AT EAGLE DROP ZONE AS FOLLOWING: 1:SKE RUN IN, SFC TO 1,015 FT AGL. 2: PERSONAL DROP, SFC TO 10,000FT. 18 APR 0001Z-0400Z.","KN",0
9418,"M0289/18","C",,,"RJTY",4/17/2018 6:07:35,4/20/2018 6:07:35,,"Cancel M0280/18","KN",0
9419,"M0290/18","N","RJJJ","QMRGO","RJTY",4/17/2018 6:23:00,4/17/2018 20:43:31,,"RWY IS WET, NO STANDING WATER.","CB",1
9420,"M0291/18","N","RJJJ","QWPLW","RJTY",4/19/2018 0:01:00,4/19/2018 4:00:00,,"IFR FORMATION FLIGHT (3 C-130) WILL TAKE PLACE AT EAGLE DROP ZONE AS FOLLOWING: 1:SKE RUN IN, SFC TO 1,015 FT AGL. 2: PERSONAL DROP, SFC TO 10,000FT.","KG",0
9421,"M0292/18","N","RJJJ","QMRGO","RJTY",4/17/2018 20:43:00,4/18/2018 5:03:25,,"RWY WET, NO STANDING WATER","KF",1
9422,"M0293/18","C",,,"RJTY",4/17/2018 20:43:31,4/20/2018 20:43:31,,"Cancel M0290/18","CB",0
9423,"M0294/18","C",,,"RJTY",4/18/2018 5:03:25,4/21/2018 5:03:25,,"Cancel M0292/18","KF",0
9424,"M0295/18","N","RJJJ","QMXLT","RJTY",4/18/2018 10:02:00,4/19/2018 10:49:22,,"A1 TWY AND F TWY BETWEEN C2 AND D2 ARE DAY/VFR ONLY.","KF",1
9425,"M0296/18","N","RJJJ","QMXLC","RJTY",4/22/2018 3:00:00,4/22/2018 7:00:00,,"TAXILANE A CLSD FROM D1-E1","KF",0
9426,"M0297/18","C",,,"RJTY",4/19/2018 10:49:22,4/22/2018 10:49:22,,"Cancel M0295/18","KF",0
9427,"M0298/18","N","RJJJ","QWVLW","RJTY",4/20/2018 0:01:00,4/20/2018 4:00:00,,"IMC FORMATION FLIGHT 4 X C-130S, SRFC TO 1,015 FT AGL, 20 APR/0001Z-0400Z, EAGLE DZ, SKE RUN-IN","KK",0
9428,"M0299/18","N","RJJJ","QLJAS","RJTY",4/20/2018 12:52:00,4/30/2018 13:00:00,,"RWY 18 APCH LIGHTING SYSTEM UNSERVICEABLE","KF",0
9429,"M0300/18","N","RJJJ","QWVLW","RJTY",4/23/2018 8:00:00,4/23/2018 12:00:00,,"IMC FORMATION FLIGHT 2 X C-130S, SRFC TO 1,015 FT AGL, 23 APR/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","KK",0
9430,"M0301/18","N","RJJJ","QWVLW","RJTY",4/24/2018 8:00:00,4/24/2018 12:00:00,,"IMC FORMATION FLIGHT 4 X C-130S, SRFC TO 1,015 FT AGL, 24 APR/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","KK",0
9431,"M0302/18","R","RJJJ","QSPXX","RJTY",4/23/2018 7:08:00,7/20/2018 13:00:00,,"Replaces M0082/18: SURVEILLANCE APCHS NOT AVAILABLE","SD",0
9432,"M0303/18","N","RJJJ","QMRGO","RJTY",4/23/2018 20:46:00,4/24/2018 5:00:00,,"RUNWAY IS WET, BUT NO STANDING WATER","KN",0
9433,"M0304/18","N","RJJJ","QFAXX","RJTY",4/26/2018 8:00:00,4/26/2018 8:14:15,,"AERODROME QUIET HOURS AND RAMP FREEZE IN EFFECT. TAKEOFFS, LANDINGS, AND APPROACHES ARE NOT PERMITTED. RAMP FREEZE IN EFFECT FROM TWY E-1 TO A-3. ENGINE RUNS, APU/AGE OPERATIONS, AIRCRAFT/VEHICLE MOVEMENTS ARE NOT AUTHORIZED IN THIS AREA. MISSION ESSENTIAL FLIGHTS ARE PERMITTED WITH 374OG/CC APPROVAL.","KF",1
9434,"M0305/18","N","RJJJ","QWVLW","RJTY",4/25/2018 23:00:00,4/26/2018 3:00:00,,"IMC FORMATION FLIGHT 2 X C-130S, SRFC TO 1,015 FT AGL, 25 APR/2300Z-26 APR/0300Z, EAGLE DZ, SKE RUN-IN","KK",0
9435,"M0306/18","N","RJJJ","QMRGO","RJTY",4/24/2018 20:52:00,4/25/2018 3:07:11,,"RWY IS WET, NO STANDING WATER","KK",1
9436,"M0307/18","C",,,"RJTY",4/25/2018 3:07:11,4/28/2018 3:07:11,,"Cancel M0306/18","KK",0
9437,"M0308/18","N","RJJJ","QGSAU","RJTY",4/25/2018 22:42:00,5/30/2018 13:00:00,,"LIQUID NITROGEN UNAVAILABLE FOR C-5","KK",0
9438,"M0309/18","C",,,"RJTY",4/25/2018 22:43:30,4/28/2018 22:43:30,,"Cancel M0262/18","KK",0
9439,"M0310/18","C",,,"RJTY",4/26/2018 8:14:15,4/29/2018 8:14:15,,"Cancel M0304/18","KF",0
9440,"M0311/18","N","RJJJ","QXXXX","RJTY",4/26/2018 8:18:00,4/26/2018 13:00:00,,"AERODROME QUIET HOURS AND RAMP FREEZE IN EFFECT. NORMAL RESTRICTIONS APPLY TO INCLUDE NO ENGINE RUNNING ACTIVITES (TAXI, TAKEOFF, LANDING, APUS, ETC). RAMP FREEZE IN EFFECT BETWEEN TWY E1 AND TWY A3. MISSIONS REQUIRING TO OPERATE DURING THIS PERIOD REQUIRE QUIET HOUR WAIVER. COORDINATED THROUGH 374 AW/CP","KF",0
9441,"M0319/18","N","RJJJ","QXXXX","RJTY",5/3/2018 23:30:00,5/4/2018 2:00:00,,"RAMP FREEZE IN EFFECT FOR DELTA AND ECHO RAMPS. PEDESTRIAN/VEHICLE MOVEMENT AND ENGINE/APU/AGE OPERATIONS NOT AUTHORIZED EXCEPT THOSE IN SUPPORT OF 374AW GENERATION EXERCISE","EZ",0
9442,"M0320/18","N","RJJJ","QMRLT","RJTY",5/4/2018 1:30:00,5/3/2018 0:03:32,,"RWY OPERATIONS LIMITED TO PRE APPROVED ACFT ONLY","KK",1
9443,"M0312/18","N","RJJJ","QWLLW","RJTY",4/29/2018 5:45:00,4/29/2018 5:17:06,,"ASCENT OF APPROX 300 BALLOONS AT 357107N1393617E SFC TO UNKNOWN ALTITTUDE","SD",1
9444,"M0313/18","N","RJJJ","QWVLW","RJTY",4/30/2018 8:00:00,4/30/2018 12:00:00,,"IMC FORMATION FLIGHT 4 X C-130S, SRFC TO 1,015 FT AGL, 30 APR/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","KK",0
9445,"M0314/18","C",,,"RJTY",4/29/2018 5:17:06,5/2/2018 5:17:06,,"Cancel M0312/18","SD",0
9446,"M0315/18","N","RJJJ","QWLLW","RJTY",4/29/2018 5:45:00,4/29/2018 6:00:00,,"ASCENT OF APPROX 300 BALLOONS AT 3543N1392142E SFC TO UNKNOWN ALTITTUDE","SD",0
9447,"M0316/18","N","RJJJ","QWVLW","RJTY",5/1/2018 0:01:00,5/1/2018 4:00:00,,"IMC FORMATION FLIGHT 3 X C-130S, SRFC TO 1,015 FT AGL, 1 MAY/0001Z-0400Z, EAGLE DZ, SKE RUN-IN","KF",0
9448,"M0317/18","N","RJJJ","QWVLW","RJTY",5/1/2018 8:00:00,5/1/2018 12:00:00,,"IMC FORMATION FLIGHT 4 X C-130S, SRFC TO 1,015 FT AGL, 1 MAY/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","KF",0
9449,"M0318/18","N","RJJJ","QXXXX","RJTY",5/1/2018 0:24:00,5/1/2018 20:10:39,,"AIRCREW BE ADVISED 1 INCH THICK STEAL PLATES ACROSS ALPHA TWY NEAR TWY BRAVO","KK",1
9450,"M0321/18","N","RJJJ","QXXXX","RJTY",5/1/2018 20:10:00,5/16/2018 23:35:31,,"AIRCREW BE ADVISED 1 INCH THICK STEEL PLATES ACROSS ALPHA TWY NEAR TWY BRAVO","KF",1
9451,"M0322/18","C",,,"RJTY",5/1/2018 20:10:39,5/4/2018 20:10:39,,"Cancel M0318/18","KK",0
9452,"M0323/18","N","RJJJ","QWVLW","RJTY",5/2/2018 4:00:00,5/2/2018 7:30:00,,"IMC FORMATION FLIGHT 1 X C-130S, SRFC TO 1,015 FT AGL, 2 MAY/0400Z-0730Z, EAGLE DZ, SKE RUN-IN","KK",0
9453,"M0324/18","N","RJJJ","QWVLW","RJTY",5/2/2018 8:00:00,5/2/2018 12:00:00,,"IMC FORMATION FLIGHT 1 X C-130S, SRFC TO 1,015 FT AGL, 2 MAY/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","KK",0
9454,"M0325/18","N","RJJJ","QMRGO","RJTY",5/2/2018 8:28:00,5/2/2018 20:12:07,,"RUNWAY IS WET, BUT NO STANDING WATER.","KK",1
9455,"M0326/18","N","RJJJ","QMRGO","RJTY",5/2/2018 20:07:00,5/3/2018 3:00:15,,"RWY IS WET","KF",1
9456,"M0327/18","C",,,"RJTY",5/2/2018 20:12:07,5/5/2018 20:12:07,,"Cancel M0325/18","KK",0
9457,"M0328/18","N","RJJJ","QWVLW","RJTY",5/4/2018 2:30:00,5/4/2018 4:30:00,,"IMC FORMATION FLIGHT 14 X C-130S, SRFC TO 1,015 FT AGL, 4 APR/0230Z-0430Z, EAGLE DZ, SKE RUN-IN","KF",0
9458,"M0329/18","N","RJJJ","QMRLT","RJTY",5/4/2018 1:30:00,5/4/2018 4:45:00,,"RWY OPERATIONS RESTRICTED TO PRE APPROVED ACFT ONLY. RWY WILL BE UNAVAILABLE TO ALL AIRCRAFT AT CERTAIN TIMES.","KK",0
9459,"M0330/18","C",,,"RJTY",5/3/2018 0:03:32,5/6/2018 0:03:32,,"Cancel M0320/18","KK",0
9460,"M0331/18","C",,,"RJTY",5/3/2018 3:00:15,5/6/2018 3:00:15,,"Cancel M0326/18","KF",0
9461,"M0332/18","N","RJJJ","QXXXX","RJTY",5/4/2018 0:32:00,5/31/2018 20:44:56,,"B-1, CRAWLER CRANE 120 TON. WORK PERIOD; BETWEEN 7 AND 18 MAY (EXCEPT ON SUNDAY), HEIGHT: 223 FEET (68 METERS), LOCATION: 139°21'29.29""E 35°42'53.86""N, GROUND ELEVATION: 364.3 FEET MSL (111.03 METERS).","SD",1
9462,"M0333/18","N","RJJJ","QXXXX","RJTY",5/4/2018 0:36:00,5/29/2018 22:45:49,,"B-2, ROUGH TERRAIN CRANE 50 TON, WORK PERIOD; BETWEEN 7 AND 31 MAY (EXCEPT ON SUNDAY), HEIGHT: 137 FEET (42 METERS), LOCATION: 139°21'29.29""E 35°42'53.86""N, GROUND ELEVATION: 364.3 FEET MSL (111.03 METERS)","AP",1
9463,"M0334/18","N","RJJJ","QWVLW","RJTY",5/7/2018 7:45:00,5/7/2018 11:45:00,,"IMC FORMATION FLIGHT 4 X C-130S, SRFC TO 1,015 FT AGL, 7 MAY/0745Z-1145Z, EAGLE DZ, SKE RUN-IN","KF",0
9464,"M0335/18","N","RJJJ","QMXLC","RJTY",5/6/2018 11:19:00,5/7/2018 4:00:00,,"TWY K CLSD","KF",0
9465,"M0336/18","N","RJJJ","QMRGO","RJTY",5/7/2018 6:13:00,5/8/2018 1:20:17,,"RWY IS WET","KK",1
9466,"M0337/18","N","RJJJ","QWVLW","RJTY",5/7/2018 23:30:00,5/8/2018 3:30:00,,"IMC FORMATION FLIGHT 2 X C-130S, SRFC TO 1,015 FT AGL, 7 MAY/2330Z-8 MAY/0330Z, EAGLE DZ, SKE RUN-IN","KF",0
9467,"M0338/18","N","RJJJ","QWVLW","RJTY",5/8/2018 7:30:00,5/8/2018 11:30:00,,"IMC FORMATION FLIGHT 2 X C-130S, SRFC TO 1,015 FT AGL, 8 MAY/0730Z-1130Z, EAGLE DZ, SKE RUN-IN","KF",0
9468,"M0339/18","N","RJJJ","QXXXX","RJTY",5/10/2018 22:45:00,5/11/2018 1:00:00,,"RAMP FREEZE IN EFFECT FOR ECHO RAMP, INCLUDING TAXIWAYS E1 AND A3. ALL VEHICLE AND AIRCRAFT MOVEMENT RETRICTED EXCEPT THOSE IN SUPPORT OF THE 374 AW WING PHOTO.","MJ",0
9469,"M0341/18","N","RJJJ","QXXXX","RJTY",5/11/2018 1:00:00,5/11/2018 2:30:00,,"AFLD QUIET HOURS IN EFFECT. NO ARRIVALS, DEPARTURES, ENGINE RUNS, OR USE OF APU/GPU/AGE IS PERMITTED. RAMP FREEZE ALSO IN EFFECT ON DELTA RAMP BETWEEN BLDG 602 AND BLDG 703. NO VEHICLE MOVEMENT PERMITTED.","KK",0
9470,"M0340/18","C",,,"RJTY",5/8/2018 1:20:17,5/11/2018 1:20:17,,"Cancel M0336/18","KK",0
9471,"M0362/18","N","RJJJ","QXXXX","RJTY",5/16/2018 1:00:00,5/15/2018 4:56:19,,"AERODROME QUIET HOURS AND RAMP FREEZE IN EFFECT. TAKEOFFS, LANDINGS, AND APPROACHES ARE NOT PERMITTED. RAMP FREEZE IN EFFECT FROM TWY E-1 TO A-3. ENGINE RUNS, APU/AGE OPERATIONS, AIRCRAFT/VEHICLE MOVEMENTS ARE NOT AUTHORIZED IN THIS AREA. MISSION ESSENTIAL FLIGHTS ARE PERMITTED WITH 374OG/CC APPROVAL","CB",1
9472,"M0363/18","N","RJJJ","QXXXX","RJTY",5/16/2018 5:00:00,5/15/2018 1:04:17,,"AERODROME QUIET HOURS AND RAMP FREEZE IN EFFECT. TAKEOFFS, LANDINGS, AND APPROACHES ARE NOT PERMITTED. RAMP FREEZE IN EFFECT FROM TWY E-1 TO A-3. ENGINE RUNS, APU/AGE OPERATIONS, AIRCRAFT/VEHICLE MOVEMENTS ARE NOT AUTHORIZED IN THIS AREA. MISSION ESSENTIAL FLIGHTS ARE PERMITTED WITH 374OG/CC APPROVAL","AP",1
9473,"M0342/18","N","RJJJ","QLAXX","RJTY",5/8/2018 8:02:00,5/8/2018 8:16:16,,"RWY 36 SEQUENCED FLASHING LGT UNMONITORED","SD",1
9474,"M0343/18","C",,,"RJTY",5/8/2018 8:16:16,5/11/2018 8:16:16,,"Cancel M0342/18","SD",0
9475,"M0344/18","N","RJJJ","QLJAS","RJTY",5/8/2018 8:18:00,8/3/2018 13:00:00,,"RWY 36 SEQUENCED FLASHING LGT UNSERVICEABLE","SD",0
9476,"M0345/18","N","RJJJ","QLJAS","RJTY",5/8/2018 8:22:00,8/3/2018 13:00:00,,"RWY 18 SEQUENCED FLASHING LGT UNSERVICEABLE","SD",0
9477,"M0346/18","N","RJJJ","QMRGO","RJTY",5/8/2018 8:51:00,5/8/2018 22:00:00,,"RWY IS WET","CB",0
9478,"L0045/18","R","RJJJ","QXXXX","RJTY",5/9/2018 11:35:00,7/31/2018 2:37:23,,"Replaces L0036/18: SPOT G1 IS CLOSED EXCEPT AERO CLUB AIRCRAFT.","KN",1
9479,"L0046/18","R","RJJJ","QXXXX","RJTY",5/9/2018 11:36:00,7/31/2018 2:35:16,,"Replaces L0038/18: SPOT HC-2, HC-3, AND HC-4 ARE NOT AVAILABLE WHILE EAGLE DROP ZONE IS ACTIVE OR SCHEDULED TO USE. PRIOR APPROVAL IS REQUIRED FROM BOTH 36AS AND AIRFIELD MANAGEMENT BEFORE ASSIGN ANY AIRCRAFT TO THESE PARKING SPOTS.","KN",1
9480,"L0047/18","R","RJJJ","QXXXX","RJTY",5/9/2018 11:36:00,7/31/2018 2:32:12,,"Replaces L0040/18: SPOT HC-1 THRU HC-4 ARE LIMITED TO PARK WITHIN 24 HOURS ONLY. MORE THAN 24 HOURS PARK, AIRCRAFT MUST DOWNLOAD HAZMAT AND MOVE TO WEST SIDE OF RUNWAY. AIRCRAFT NEEDS MORE THAN 24 HOURS PARKING AT THESE SPOTS, PRIOR PERMISSION IS REQUIRED FROM AIRFIELD MANAGER.","KN",1
9481,"M0347/18","N","RJJJ","QMRGO","RJTY",5/9/2018 20:34:00,5/10/2018 4:30:00,,"RUNWAY IS WET, BUT NO STANDING WATER.","KN",0
9482,"M0348/18","N","RJJJ","QMXLC","RJTY",5/10/2018 3:36:00,5/11/2018 2:30:00,,"A-TAXILANE, SOUTH OF E1 TAXIWAY, A3 TAXIWAY, AND SPOT E1 THRIUGH E7 ARE CLOSED.","KN",0
9483,"M0349/18","C",,,"RJTY",5/10/2018 5:41:42,5/13/2018 5:41:42,,"Cancel M0125/18","CB",0
9484,"M0350/18","N","RJJJ","QLYAS","RJTY",5/10/2018 5:44:00,8/1/2018 13:00:00,,"TWY A   RWY GUARD LGT AT TWY A1 UNSERVICEABLE","CB",0
9485,"M0351/18","C",,,"RJTY",5/10/2018 5:48:18,5/13/2018 5:48:18,,"Cancel M0127/18","CB",0
9486,"M0352/18","N","RJJJ","QMMXX","RJTY",5/10/2018 5:50:00,8/1/2018 13:00:00,,"TWY E TACAN CHECKPOINT SIGN AT TWY E2 MISSING","CB",0
9487,"M0353/18","C",,,"RJTY",5/10/2018 5:51:12,5/13/2018 5:51:12,,"Cancel M0128/18","CB",0
9488,"M0354/18","N","RJJJ","QMMXX","RJTY",5/10/2018 5:52:00,8/1/2018 13:00:00,,"TWY C TWY LOCATION SIGN AT TWY C1 LGT UNSERVICEABLE","CB",0
9489,"M0355/18","C",,,"RJTY",5/10/2018 5:52:53,5/13/2018 5:52:53,,"Cancel M0130/18","CB",0
9490,"M0356/18","N","RJJJ","QMMXX","RJTY",5/10/2018 5:54:00,8/1/2018 13:00:00,,"TWY D TWY LOCATION SIGN AT TWY D2 LGT UNSERVICEABLE","CB",0
9491,"M0357/18","C",,,"RJTY",5/10/2018 5:54:48,5/13/2018 5:54:48,,"Cancel M0131/18","CB",0
9492,"M0358/18","N","RJJJ","QMMXX","RJTY",5/10/2018 5:56:00,8/1/2018 13:00:00,,"TWY F HOLDING POSITION SIGN FOR ILS LGT UNSERVICEABLE","CB",0
9493,"M0364/18","N","RJJJ","QOBCE","RJTY",5/14/2018 21:00:00,5/17/2018 13:00:00,,"OBSTACLE CRANE 354450N1392142E  (0.25NM EAST RJTY) 393.7FT MSL  (114.8FT AGL) ERECTED","EZ",0
9494,"M0359/18","N","RJJJ","QLXAS","RJTY",5/10/2018 12:38:00,6/10/2018 13:00:00,,"RWY 18/36 CENTERLINE LGT   UNSERVICEABLE","CB",0
9495,"M0360/18","N","RJJJ","QFAHW","RJTY",5/11/2018 21:00:00,5/12/2018 16:00:00,,"AERODROME WORK IN PROGRESS: MEN AND EQUIPMENT AT SOUTH END OF RUNWAY, 500 FT EAST OF RUNWAY CENTERLINE, ALONG THE FENCE.","KN",0
9496,"M0361/18","N","RJJJ","QMRXX","RJTY",5/13/2018 5:39:00,5/14/2018 5:39:00,,"RWY 18/36 WET WITH LESS THAN 1/10 INCH STANDING WATER OBSERVED AT 1805130515.","KG",0
9497,"M0365/18","N","RJJJ","QXXXX","RJTY",5/14/2018 8:00:00,5/14/2018 12:00:00,,"AERODROME IMC FORMATION FLIGHT:3 X C-130S, SRFC TO 1,015 FT AGL, 14 MAY/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","EZ",0
9498,"M0366/18","C",,,"RJTY",5/15/2018 1:04:17,5/18/2018 1:04:17,,"Cancel M0363/18","AP",0
9499,"M0367/18","N","RJJJ","QXXXX","RJTY",5/15/2018 3:51:00,5/25/2018 13:00:00,,"ILS SIGN LOCATED ON EAST AND WEST SIDE OF TWY A3 REMOVED.","AP",0
9500,"M0368/18","N","RJJJ","QXXXX","RJTY",5/15/2018 3:52:00,5/25/2018 13:00:00,,"RWY HOLD SIGN LOCATED ON SOUTH SIDE OF TWY A3 REMOVED.","AP",0
9501,"M0369/18","N","RJJJ","QXXXX","RJTY",5/16/2018 5:00:00,5/16/2018 6:00:00,,"AERODROME QUIET HOURS AND RAMP FREEZE IN EFFECT. TAKEOFFS, LANDINGS, AND APPROACHES ARE NOT PERMITTED. RAMP FREEZE IN EFFECT FROM TWY E-1 TO A-3. ENGINE RUNS, APU/AGE OPERATIONS, AIRCRAFT/VEHICLE MOVEMENTS ARE NOT AUTHORIZED IN THIS AREA. MISSION ESSENTIAL FLIGHTS ARE PERMITTED WITH 374OG/CC APPROVAL","CB",0
9502,"M0370/18","C",,,"RJTY",5/15/2018 4:56:19,5/18/2018 4:56:19,,"Cancel M0362/18","CB",0
9503,"M0371/18","N","RJJJ","QWVLW","RJTY",5/17/2018 8:00:00,5/17/2018 12:00:00,,"IMC FORMATION FLIGHTS: 3 X C-130S, SRFC TO 1,015 FT AGL, 17 MAY/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","SD",0
9504,"M0372/18","N","RJJJ","QWVLW","RJTY",5/18/2018 0:01:00,5/18/2018 3:30:00,,"IMC FORMATION FLIGHTS: 4 X C-130S, SRFC TO 1,015 FT AGL, 18 MAY/0001Z-0330Z, EAGLE DZ, SKE RUN-IN","SD",0
9505,"M0377/18","N","RJJJ","QMMXX","RJTY",5/21/2018 20:00:00,6/7/2018 13:00:00,,"TWY E TACAN CHECKPOINT SIGN AT TWY E1 MISSING","SD",0
9506,"M0376/18","N","RJJJ","QMMXX","RJTY",5/21/2018 20:00:00,6/7/2018 13:00:00,,"TWY E HOLD SIGN AT TWY E2 MISSING FOR TWY F CMA","SD",0
9507,"M0375/18","N","RJJJ","QMMXX","RJTY",5/21/2018 20:00:00,6/7/2018 13:00:00,,"TWY G HOLD SIGN AT TWY F (SOUTH) MISSING FOR TWY F CMA","SD",0
9508,"M0373/18","C",,,"RJTY",5/16/2018 23:35:31,5/19/2018 23:35:31,,"Cancel M0321/18","KF",0
9509,"M0374/18","N","RJJJ","QRTCS","RJTY",5/20/2018 4:00:00,5/20/2018 6:00:00,,"TFR ESTABLISHED: FLYING OVER HINO CITY (LOCATES 3 TO 5 MILES SSE OF YOKOTA, EXPANDED FROM 1 TO 3 MILES EAST OF EXTENDED RUNWAY CENTERLINE) IS RESTRICTED TO 3,000FT AGL AND ABOVE. NO GROUND RESTRICTIONS.","KN",0
9510,"M0378/18","N","RJJJ","QWVLW","RJTY",5/22/2018 8:00:00,5/22/2018 12:00:00,,"IMC FORMATION FLIGHT 4 X C-130S, SRFC TO 1,015 FT AGL, 22 MAY/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","KK",0
9511,"M0379/18","N","RJJJ","QWVLW","RJTY",5/23/2018 4:30:00,5/23/2018 8:00:00,,"IMC FORMATION FLIGHT 2 X C-130S, SRFC TO 1,015 FT AGL, 23 MAY/0430Z-0800Z, EAGLE DZ, SKE RUN-IN","KK",0
9512,"M0380/18","N","RJJJ","QWVLW","RJTY",5/24/2018 8:00:00,5/23/2018 12:19:15,,"IMC FORMATIN FLIGHT 4 X C-130S, SRFC TO 1,015 FT AGL, 24 MAY/0800Z-1200Z, EAGLE DZ, SKE RUN-IN","AT*",1
9513,"M0407/18","N","RJJJ","QOBCE","RJTY",6/4/2018 21:00:00,6/30/2018 13:00:00,"MON-FRI 2100-1300","OBSTACLE CRANE 354254N1392129E  (1NM SOUTH RJTY) 364FT MSL  (138FT AGL) ERECTED","SD",0
